Contract_Title,Contract_Value,Supplier_Name,Award_Date,matched_sponsor,Town/City,Route
Pan-London Domiciliary Care AQP 2023,0.0,CARE MISSION LIMITED,2023-11-29,MISSION CARE,Chislehurst,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,SURECARE (ENFIELD) LIMITED,2023-11-29,SURECARE (ENFIELD),Enfield,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,S2O CARE SERVICES LIMITED,2023-11-29,CARE SERVICES,Solihull,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,HE REIGNS HEALTHCARE SERVICES LIMITED,2023-11-29,S & S HEALTHCARE LIMITED,Sheffield,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,SARAT HEALTHCARE LTD,2023-11-29,SARAT HEALTHCARE LTD,London,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,PARISSE CARE CONSULTING LIMITED,2023-11-29,PARISSE CARE CONSULTING LIMITED,Swanley,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,FOUNTAIN CARE SERVICES LTD,2023-11-29,CARE SERVICES,Solihull,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,IRIS CARE SERVICES LTD,2023-11-29,IRIS CARE SERVICES LTD,Hemel Hempstead,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,SAMARY CARE LIMITED,2023-11-29,SAMARY CARE LIMITED,Enfield,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,KASE CARE LIMITED,2023-11-29,KASE CARE LIMITED,Loughton,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,FOCUS CARE LINK LIMITED,2023-11-29,FOCUS CARE LINK LIMITED,London,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,HG HEALTH LIMITED,2023-11-29,GB HEALTH LIMITED,Reading,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,LINK DIRECT CARE LIMITED,2023-11-29,LINK DIRECT CARE LIMITED,Swindon,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,FLEXSERVE UK LIMITED,2023-11-29,FLEXSERVE UK LIMITED, Cockfosters,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,FOOS CARE LTD,2023-11-29,FOOS CARE LTD,London,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,CARE MANAGERS LTD,2023-11-29,CARE MANAGERS LTD,Cwmbran,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,KIND SOLUTIONS LIMITED,2023-11-29,IDR SOLUTIONS LIMITED,Tonbridge,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,HEDGEROW HOMECARE LTD,2023-11-29,HEDGEROW HOMECARE,London,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,ASPIRE CARE SERVICES LTD,2023-11-29,ASPIRE CARE SERVICES LTD,London,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,OCEANIC CARE SERVICES LTD,2023-11-29,CARE SERVICES,Solihull,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,REED SPECIALIST RECRUITMENT LIMITED,2023-11-29,REED SPECIALIST RECRUITMENT LIMITED,Raynes Park,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,THREE ANGEL HEALTH CARE LTD,2023-11-29,THREE ANGEL HEALTH CARE LTD,Romford,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,VISTA CARE SOLUTIONS LIMITED,2023-11-29,VISTA CARE SOLUTIONS LIMITED,Plaistow,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,PARADISE HOME CARE SERVICES LIMITED,2023-11-29,CARE SERVICES,Solihull,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,CARINGSMART LTD,2023-11-29,CARINGSMART LTD,Taunton,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,DCAS DIRECT PERSONNEL LIMITED,2023-11-29,DCAS DIRECT PERSONNEL LIMITED,London,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,LIVINGSTONE HEALTH CARE LIMITED,2023-11-29,CC HEALTH CARE LIMITED,"Southend - On - Sea,",Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,FEAN SERVICES UK LTD,2023-11-29,UK 1 SERVICES LTD,Bradford,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,ELITE CAREPLUS LTD,2023-11-29,ELITE LTD,Portsmouth,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,FERN CARE SERVICES LIMITED,2023-11-29,FERN CARE SERVICES LIMITED,Barking,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,VIRTUS CARE LTD,2023-11-29,VIRTUS CARE LTD,London,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,FREIVAN SUPPORT SERVICES LTD,2023-11-29,FREIVAN SUPPORT SERVICES LTD,Barking,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,MAKSANUS CARE SERVICES LIMITED,2023-11-29,CARE SERVICES,Solihull,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,SALUS CARE LTD,2023-11-29,SALUS CARE LTD,London,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,M & C CARE SERVICES LIMITED,2023-11-29,CARE SERVICES,Solihull,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,CARING@HOME LTD,2023-11-29,CARING@HOME LTD,Swindon,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,LAMBETH CARE SERVICES LIMITED,2023-11-29,CARE SERVICES,Solihull,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,NISACRAFTCARE LIMITED,2023-11-29,NISACRAFTCARE LIMITED,Alperton,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,ASHTON CARE LTD,2023-11-29,ASHTON CARE HOMES LTD,"Haywards Heath,",Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,CONSCIENCE CARE LIMITED,2023-11-29,SCIENCE CARE LIMITED,Dunstable ,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,LEGACY PRIVATE LIMITED,2023-11-29,LEGACY PRIVATE LIMITED,London,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,PRACTICAL CARE LTD,2023-11-29,PRACTICAL CARE SOLUTIONS LTD,Leicester ,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,ABBOTS CARE LIMITED,2023-11-29,ABBOTS CARE LIMITED,St. Albans,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,DT CARE SERVICES LTD,2023-11-29,CARE SERVICES,Solihull,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,CAREPLUS HEALTHCARE SERVICES LTD,2023-11-29,CAREPLUS HEALTHCARE SERVICES LTD,London,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,HOPE HOMECARE SERVICES LIMITED,2023-11-29,MNA HOMECARE SERVICES LIMITED,Greenford,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,THE PADLE HEALTHCARE LIMITED,2023-11-29,S & S HEALTHCARE LIMITED,Sheffield,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,IMPRESSION SERVICES LTD,2023-11-29,IMPRESSION SERVICES LTD,Northampton,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,JS CONSULT LIMITED,2023-11-29,JS CONSULT LIMITED,London,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,INTERNATIONAL HEALTHCARE RECRUITMENT LIMITED,2023-11-29,S & S HEALTHCARE LIMITED,Sheffield,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,INDIVIDUALISED CARE LTD,2023-11-29,INDIVIDUALISED CARE LTD,Haringey,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,PACIFIC CARE SOLUTIONS LIMITED,2023-11-29,PACIFIC CARE LIMITED,Glasgow,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,AMBROSIAL SERVICES LIMITED,2023-11-29,AMBROSIAL  SERVICES LIMITED,Watford,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,DVANGUARD LTD,2023-11-29,DVANGUARD LTD,Dartford,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,CAREMAX LTD,2023-11-29,CAREMAX LTD,London,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,FABULOUS HOMECARE LTD,2023-11-29,FABULOUS HOMECARE LTD,Croydon,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,CARE AT CALL LTD,2023-11-29,CARE AT CALL,Sutton Coldfield,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,HILLSIDE CARE SERVICES COMMUNITY INTEREST COMPANY,2023-11-29,CARE SERVICES,Solihull,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,LIFESERVE SOLUTIONS LIMITED,2023-11-29,LIFESERVE SOLUTIONS LIMITED,North Finchley,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,UTMOSTCARE LIMITED,2023-11-29,UTMOSTCARE LIMITED,AYLESBURY,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,MERCURY CARE SERVICES LIMITED,2023-11-29,MERCURY CARE SERVICES LIMITED,CROYDON,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,IMMEDIATE QUALITY CARE (IQC) LTD,2023-11-29,IMMEDIATE QUALITY CARE (IQC) LTD,London,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,ANYTIME RECRUITMENT LIMITED,2023-11-29,ANYTIME RECRUITMENT LIMITED,Romford,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,CRESTA HEALTHCARE LTD,2023-11-29,CRESTA HEALTHCARE LTD,Southampton,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,AAA HEALTHCARE AGENCY LIMITED,2023-11-29,AAA HEALTHCARE LIMITED,Hull,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,RAMSY HEALTH CARE LTD,2023-11-29,RAMSY HEALTH CARE LTD,LONDON,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,JOHNSTON'S HOME CARE LTD.,2023-11-29,HOME CARE HOME LTD,Nottingham,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,GOLDSTAR CARE SERVICES LIMITED,2023-11-29,GOLDSTAR CARE SERVICES LIMITED,Ilford,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,DIGNIFIED HOMECARE LIMITED,2023-11-29,DIGNIFIED HOMECARE,Hornchurch,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,CARAMEL HEALTHCARE LIMITED,2023-11-29,CARAMEL LIMITED,LONDON,Skilled Worker
GSS23924 Cyber Security Project Manager,305232.0,HAYS SPECIALIST RECRUITMENT LIMITED,2023-11-14,MH RECRUITMENT LIMITED,Staines,Skilled Worker
CCC - Insightweb,42100.0,ESRI,2023-06-22,ESRI (UK) LTD,Aylesbury,Skilled Worker
TfL 96033 - Transport for London Brand Licensing and Development,4727502.0,INTERNATIONAL MANAGEMENT GROUP (UK) LTD,2023-02-07,Y INTERNATIONAL (UK) LTD,Birmingham,Skilled Worker
UK SBS - DDaT22359 - Data Migration/Integration,208600.0,METHODS BUSINESS AND DIGITAL TECHNOLOGY LIMITED,2022-11-10,METHODS BUSINESS AND DIGITAL TECHNOLOGY,London,Skilled Worker
Franking machine,358560.0,SIEMENS FINANCIAL SERVICES LTD,2022-10-17,M & M FINANCIAL SERVICES LTD,London,Skilled Worker
EHRC 2223-09 IT Software Subscriptions,47472.0,BOXXE LIMITED,2022-08-09,BOXXE LIMITED,York,Skilled Worker
