Contract_Title,Contract_Value,Supplier_Name,Award_Date
GB-Nottingham: TPPL Nottinghamshire County Council HCC Lot 1 - 2 x Large Fully Electric Car (28038),49641.88,TOYOTA (GB) PLC,2025-12-09
S30040 5G Network - Feasibility Support,239434.71,ATKINSRÉALIS JACOBS JOINT VENTURE,2025-12-08
"UKRI-5113 Building 383 Windows, Doors Replacement and Roof Solar Pv Installation",932750.39,ASHE CONSTRUCTION LTD,2025-12-08
"UKRI-5113 MRC Harwell Building 383 Windows, Doors Replacement and Roof Solar Pv Installation",932750.39,ASHE CONSTRUCTION LTD,2025-12-08
"Surfacing Works, Agricultural Hall, Penrith - PFK 569618",46878.09,PFK ESTATE AGENCY LIMITED,2025-12-08
Bradfields Academy - PCSA (con_29550),2359084.67,BAM CONSTRUCTION LTD,2025-12-08
Matford Brook Academy - PCSA (con_29544),727427.0,KIER CONSTRUCTION,2025-12-08
Eyecare Services - HMLR701142,80000.0,SPECSAVERS CORPORATE EYECARE,2025-12-08
NSOIT Commercial and Procurement Lead,41405.0,INVESTIGO LIMITED,2025-12-05
Technical Rescue Units for Norfolk Fire and Rescue Service,636867.0,EMERGENCY ONE (UK) LIMITED,2025-12-05
Call Off Contract for  Egress Licences,114822.0,PHOENIX SOFTWARE LTD,2025-12-05
CAYL1602 - 28/11/2025 - AWARD,25357.83,AUK AIRPORT SERVICE LTD,2025-12-04
SHSF1401 - 26/11/25 - AWARD,73902.42,AUK AIRPORT SERVICE LTD,2025-12-04
Axminster MMF,66431.0,JEREMY BENN ASSOCIATES LIMITED (T/A JBA CONSULTING),2025-12-04
SBPS1439 - 26/11/25 - AWARD,50550.85,AUK AIRPORT SERVICE LTD,2025-12-04
Lived Experiences of Adequacy in Retirement,64800.0,YOUGOV,2025-12-03
East Anglia Mapping & Modelling 2025 Package 1,323387.35,JEREMY BENN ASSOCIATES LIMITED (T/A JBA CONSULTING),2025-12-02
Steyning Grammar School -PCSA (con_29540),4988400.0,BAM CONSTRUCTION LTD,2025-12-02
GB-Woodbridge: 2718-FW-DA - East Suffolk HCC Lot 2 - 5 x Ford Transit Vans,178191.65,FORD RETAIL T/A TRUST FORD,2025-12-01
IA3213 Staffordshire Children and Young People's Flexible Framework Contract Awards,24750.0,SPARK TO YOUR SUCCESS,2025-12-01
Care Monitoring Platform,110000.0,ACCESS UK LIMITED,2025-12-01
VAT recovery services,40000.0,LIAISONS UK LTD,2025-12-01
Wellbeing - Data Analytics Services (2025-2026),40233.0,REED SPECIALIST RECRUITMENT,2025-12-01
Outreach Digital Learning Platform,39600.0,STUDIOUS DIGITAL EDUCATION LTD,2025-11-28
CNMU1601 - 24/11/2025 - AWARD,33256.09,THE TAXI PEOPLE LTD,2025-11-27
Provision of Insurance and related services to Torus62 Limited,14000000.0,ARTHUR J. GALLAGHER INSURANCE BROKERS LTD,2025-11-27
LCF22 - Sutton New Hall Cemetery Car Park Surfacing Works - AWARD,70905.0,HAYSTOUN CONSTRUCTION LTD,2025-11-27
Udemy e-learning subscription,40571.52,SOFTWAREONE UK LIMITED,2025-11-27
Provision of Insurance and related services to Torus62 Limited,14000000.0,JENSTEN INSURANCE BROKERS (LONDON AND SE) LTD,2025-11-27
Compliance for responsive repairs and post-inspection damp and mould contact,51720.0,VOICESCAPE LIMITED,2025-11-26
graphic design / production of artwork and digital assets,180000.0,KAYE AND CO.,2025-11-26
Nursing Agency Provision,999000.0,ID MEDICAL GROUP LIMITED,2025-11-26
Nursing Agency Provision,999000.0,YOUR WORLD NURSING LIMITED,2025-11-26
Nursing Agency Provision,999000.0,PULSE HEALTHCARE LIMITED TRADING AS PULSE NURSING AT HOME,2025-11-26
Nursing Agency Provision,999000.0,NISI ENTERPRISES LIMITED TRADING AS NISI STAFFING,2025-11-26
Nursing Agency Provision,999000.0,NATIONAL LOCUMS LTD,2025-11-26
Healthy Leicestershire Digital Solution,384310.0,BOX UK,2025-11-25
Microsoft Licencing Renewal,354000.0,BYTES SOFTWARE SERVICES,2025-11-25
Provision of Office Supplies to Torbay Council,60000.0,LYRECO UK,2025-11-25
